vendor,category,lead_time,trend,pricing,note,lt_min,lt_max,lt_mid,trend_up,pricing_up,note_flag,vendor_score
Abracon,Capacitors - Supercapacitors,20-22,flat,flat,,20.0,22.0,21.0,0,0,0,22.211538461538463
Abracon,Inductors / Transformers,18-22,flat,flat,,18.0,22.0,20.0,0,0,0,21.153846153846153
AiSHi,Aluminum Electrolytic,14-16,flat,up,,14.0,16.0,15.0,0,1,0,30.865384615384613
CTS,Resistor Networks,15-20,flat,up,,15.0,20.0,17.5,0,1,0,33.50961538461539
Delevan,Inductors / Transformers,22-24,flat,flat,,22.0,24.0,23.0,0,0,0,24.326923076923077
Eaton,Capacitors - Supercapacitors,10-20,flat,up,,10.0,20.0,15.0,0,1,0,30.865384615384613
Eaton,Inductors / Transformers,12-16,flat,up,,12.0,16.0,14.0,0,1,0,29.807692307692307
ELNA,Capacitors - Supercapacitors,20-30,flat,up,EOL announced for March 2026,20.0,30.0,25.0,0,1,1,51.44230769230769
HALO Electronics,Inductors / Transformers,14-16,flat,up,,14.0,16.0,15.0,0,1,0,30.865384615384613
KYOCERA AVX,Capacitors - Supercapacitors,14-16,flat,flat,,14.0,16.0,15.0,0,0,0,15.865384615384613
KYOCERA AVX,Capacitors - Tantalum Molded,13-16,up,up,,13.0,16.0,14.5,1,1,0,50.33653846153846
KYOCERA AVX,Capacitors - Tantalum Conformals,36,up,up,,36.0,36.0,36.0,1,1,0,73.07692307692307
KYOCERA AVX,Capacitors - Polymer Tantalum,30,up,up,AI impact on deliveries; ex-Rohm devices with extended LT,30.0,30.0,30.0,1,1,1,76.73076923076923
KYOCERA AVX,Surface Mount General Capacitors – Ceramic (Less than 1uf),24,up,up,FTZ product (additional 6 weeks+ LT),24.0,24.0,24.0,1,1,1,70.38461538461539
KYOCERA AVX,Surface Mount General Capacitors – Ceramic (greater than 1uf),24,up,up,FTZ product (additional 6 weeks+ LT),24.0,24.0,24.0,1,1,1,70.38461538461539
KYOCERA AVX,Surface Mount General Capacitors – Ceramic *Automotive grade,28,up,up,FTZ product (additional 6 weeks+ LT),28.0,28.0,28.0,1,1,1,74.61538461538461
KYOCERA AVX,Leaded Capacitors - Ceramic,40,up,up,,40.0,40.0,40.0,1,1,0,77.3076923076923
KYOCERA AVX,Specialty Capacitors,40,up,up,,40.0,40.0,40.0,1,1,0,77.3076923076923
Murata,Filters,24,flat,flat,,24.0,24.0,24.0,0,0,0,25.384615384615387
Murata,Inductors / Transformers,8-12,flat,up,,8.0,12.0,10.0,0,1,0,25.576923076923077
Murata,Surface Mount General Capacitors – Ceramic (Less than 1uf),16-18,up,flat,,16.0,18.0,17.0,1,0,0,37.980769230769226
Murata,Surface Mount General Capacitors – Ceramic (greater than 1uf),18-20,up,flat,,18.0,20.0,19.0,1,0,0,40.09615384615385
Murata,Surface Mount General Capacitors – Ceramic *Automotive grade,20-24,up,flat,,20.0,24.0,22.0,1,0,0,43.269230769230774
Murata,Leaded Capacitors - Ceramic,26,up,up,,26.0,26.0,26.0,1,1,0,62.5
Murata,Specialty Capacitors,20,up,up,,20.0,20.0,20.0,1,1,0,56.15384615384615
NIC Components,Aluminum Electrolytic,14-20,up,up,,14.0,20.0,17.0,1,1,0,52.980769230769226
NIC Components,Filters,14-20,flat,up,,14.0,20.0,17.0,0,1,0,32.980769230769226
NIC Components,Inductors / Transformers,14-20,flat,up,,14.0,20.0,17.0,0,1,0,32.980769230769226
NIC Components,Thick Film Resistors,12-18,flat,flat,,12.0,18.0,15.0,0,0,0,15.865384615384613
NIC Components,Thin Film Resistors,16-20,flat,flat,,16.0,20.0,18.0,0,0,0,19.038461538461537
NIC Components,Current Sense Resistors,12-18,flat,flat,,12.0,18.0,15.0,0,0,0,15.865384615384613
NIC Components,Surface Mount General Capacitors – Ceramic (Less than 1uf),14-18,up,flat,,14.0,18.0,16.0,1,0,0,36.92307692307692
