symbol,display,company,pages,ok,listing_status,currency,price,previous_close,ytd_return_pct,market_cap_local,market_cap_usd,market_time,as_of,quote_url,chart_url,error
000660.KS,000660,SK hynix,beneficiaries;bottleneck-sectors;carbon-vs-silicon;companies;market-snapshot;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,KRW,1447000.0,651000.0,113.74,,,2026-05-04T06:30:26+00:00,2026-05-04,https://finance.yahoo.com/quote/000660.KS/,https://query1.finance.yahoo.com/v8/finance/chart/000660.KS?range=ytd&interval=1d,
001820.KS,001820,Samwha Capacitor,ai-passives,True,,KRW,68400.0,29250.0,126.87,,,2026-05-04T06:30:26+00:00,2026-05-04,https://finance.yahoo.com/quote/001820.KS/,https://query1.finance.yahoo.com/v8/finance/chart/001820.KS?range=ytd&interval=1d,
002281.SZ,002281,Accelink Technologies,companies,True,,CNY,144.28,69.95,103.7,,,2026-04-30T07:04:12+00:00,2026-05-04,https://finance.yahoo.com/quote/002281.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002281.SZ?range=ytd&interval=1d,
002371.SZ,002371.SZ,002371.SZ,beneficiaries;market-snapshot,True,,CNY,536.99,459.08,13.17,,,2026-04-30T07:04:30+00:00,2026-05-04,https://finance.yahoo.com/quote/002371.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002371.SZ?range=ytd&interval=1d,
005380.KS,005380.KS,Hyundai Motor,robotics,True,,KRW,539000.0,296500.0,80.57,,,2026-05-04T06:30:14+00:00,2026-05-04,https://finance.yahoo.com/quote/005380.KS/,https://query1.finance.yahoo.com/v8/finance/chart/005380.KS?range=ytd&interval=1d,
005930.KS,005930,Samsung Electronics,beneficiaries;bottleneck-sectors;companies;market-snapshot;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,KRW,232500.0,119900.0,80.93,,,2026-05-04T06:30:15+00:00,2026-05-04,https://finance.yahoo.com/quote/005930.KS/,https://query1.finance.yahoo.com/v8/finance/chart/005930.KS?range=ytd&interval=1d,
009150.KS,009150.KS,009150.KS,ai-passives;bottleneck-sectors;market-snapshot,True,,KRW,918000.0,255000.0,240.0,,,2026-05-04T06:30:09+00:00,2026-05-04,https://finance.yahoo.com/quote/009150.KS/,https://query1.finance.yahoo.com/v8/finance/chart/009150.KS?range=ytd&interval=1d,
010120.KS,010120,LS ELECTRIC,ai-passives,True,,KRW,294000.0,92000.0,198.48,,,2026-05-04T06:30:06+00:00,2026-05-04,https://finance.yahoo.com/quote/010120.KS/,https://query1.finance.yahoo.com/v8/finance/chart/010120.KS?range=ytd&interval=1d,
034020.KS,034020.KS,034020.KS,bottleneck-sectors;market-snapshot,True,,KRW,127200.0,75300.0,69.15,,,2026-05-04T06:30:22+00:00,2026-05-04,https://finance.yahoo.com/quote/034020.KS/,https://query1.finance.yahoo.com/v8/finance/chart/034020.KS?range=ytd&interval=1d,
042700.KS,042700.KS,042700.KS,bottleneck-sectors;market-snapshot,True,,KRW,378000.0,127400.0,161.59,,,2026-05-04T06:30:20+00:00,2026-05-04,https://finance.yahoo.com/quote/042700.KS/,https://query1.finance.yahoo.com/v8/finance/chart/042700.KS?range=ytd&interval=1d,
0522.HK,0522.HK,0522.HK,bottleneck-sectors;market-snapshot,True,,HKD,165.1,77.7,103.33,,,2026-05-04T08:08:20+00:00,2026-05-04,https://finance.yahoo.com/quote/0522.HK/,https://query1.finance.yahoo.com/v8/finance/chart/0522.HK?range=ytd&interval=1d,
0981.HK,0981.HK,0981.HK,beneficiaries;market-snapshot,True,,HKD,72.15,71.35,-3.93,,,2026-05-04T08:08:21+00:00,2026-05-04,https://finance.yahoo.com/quote/0981.HK/,https://query1.finance.yahoo.com/v8/finance/chart/0981.HK?range=ytd&interval=1d,
1347.HK,1347.HK,1347.HK,beneficiaries;market-snapshot,True,,HKD,121.0,74.1,48.83,,,2026-05-04T08:08:21+00:00,2026-05-04,https://finance.yahoo.com/quote/1347.HK/,https://query1.finance.yahoo.com/v8/finance/chart/1347.HK?range=ytd&interval=1d,
2301.TW,2301,LITEON Technology,ai-passives,True,,TWD,171.5,163.5,2.69,,,2026-05-04T05:30:05+00:00,2026-05-04,https://finance.yahoo.com/quote/2301.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2301.TW?range=ytd&interval=1d,
2303.TW,2303.TW,UMC,signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,81.2,49.25,66.74,,,2026-05-04T05:30:01+00:00,2026-05-04,https://finance.yahoo.com/quote/2303.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2303.TW?range=ytd&interval=1d,
2308.TW,2308,Delta Electronics,ai-passives;bottleneck-sectors;companies;market-snapshot,True,,TWD,2220.0,963.0,123.12,,,2026-05-04T05:30:07+00:00,2026-05-04,https://finance.yahoo.com/quote/2308.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2308.TW?range=ytd&interval=1d,
2313.TW,2313.TW,2313.TW,ai-passives;bottleneck-sectors;market-snapshot,True,,TWD,268.5,93.1,183.83,,,2026-05-04T05:30:02+00:00,2026-05-04,https://finance.yahoo.com/quote/2313.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2313.TW?range=ytd&interval=1d,
2317.TW,2317,Hon Hai Precision (Foxconn),ai-passives;companies;robotics;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,227.5,230.5,-1.94,,,2026-05-04T05:30:03+00:00,2026-05-04,https://finance.yahoo.com/quote/2317.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2317.TW?range=ytd&interval=1d,
2327.TW,2327,Yageo,ai-passives;bottleneck-sectors;companies;market-snapshot,True,,TWD,342.5,231.0,42.12,,,2026-05-04T05:30:04+00:00,2026-05-04,https://finance.yahoo.com/quote/2327.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2327.TW?range=ytd&interval=1d,
2330.TW,2330.TW,TSMC,carbon-vs-silicon;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,2275.0,1550.0,43.53,,,2026-05-04T05:30:06+00:00,2026-05-04,https://finance.yahoo.com/quote/2330.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2330.TW?range=ytd&interval=1d,
2356.TW,2356,Inventec,ai-passives,True,,TWD,46.5,42.9,4.38,,,2026-05-04T05:30:18+00:00,2026-05-04,https://finance.yahoo.com/quote/2356.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2356.TW?range=ytd&interval=1d,
2360.TW,2360,Chroma ATE,ai-passives,True,,TWD,2310.0,775.0,190.2,898013000000.0,28377210800.0,2026-05-04T05:30:29+00:00,2026-05-04,https://finance.yahoo.com/quote/2360.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2360.TW?range=ytd&interval=1d,
2382.TW,2382,Quanta Computer,ai-passives;companies;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,318.0,272.0,14.8,,,2026-05-04T05:30:17+00:00,2026-05-04,https://finance.yahoo.com/quote/2382.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2382.TW?range=ytd&interval=1d,
2454.TW,2454.TW,MediaTek,signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,2870.0,1430.0,95.24,,,2026-05-04T05:30:05+00:00,2026-05-04,https://finance.yahoo.com/quote/2454.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2454.TW?range=ytd&interval=1d,
2492.TW,2492,Walsin Technology,ai-passives,True,,TWD,138.5,117.0,11.24,,,2026-05-04T05:30:22+00:00,2026-05-04,https://finance.yahoo.com/quote/2492.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2492.TW?range=ytd&interval=1d,
267260.KS,267260,HD Hyundai Electric,ai-passives,True,,KRW,1299000.0,774000.0,58.61,,,2026-05-04T06:30:05+00:00,2026-05-04,https://finance.yahoo.com/quote/267260.KS/,https://query1.finance.yahoo.com/v8/finance/chart/267260.KS?range=ytd&interval=1d,
2802.T,2802.T,2802.T,bottleneck-sectors;market-snapshot,True,,JPY,4882.0,3317.0,46.87,4502000000000.0,28812800000.0,2026-05-01T06:30:00+00:00,2026-05-04,https://finance.yahoo.com/quote/2802.T/,https://query1.finance.yahoo.com/v8/finance/chart/2802.T?range=ytd&interval=1d,
298040.KS,298040,Hyosung Heavy Industries,ai-passives,True,,KRW,4228000.0,1781000.0,129.16,,,2026-05-04T06:30:01+00:00,2026-05-04,https://finance.yahoo.com/quote/298040.KS/,https://query1.finance.yahoo.com/v8/finance/chart/298040.KS?range=ytd&interval=1d,
