symbol,display,company,pages,ok,listing_status,currency,price,previous_close,ytd_return_pct,market_cap_currency,market_cap_local,market_cap_usd,market_time,as_of,quote_url,chart_url,error
000150.KS,000150.KS,Doosan,robotics,True,,KRW,1918000.0,781000.0,151.38,KRW,32497732853000.0,22748412997.1,2026-06-02T06:30:15+00:00,2026-06-02,https://finance.yahoo.com/quote/000150.KS/,https://query1.finance.yahoo.com/v8/finance/chart/000150.KS?range=ytd&interval=1d,
000660.KS,000660,SK hynix,beneficiaries;bottleneck-sectors;carbon-vs-silicon;companies;market-snapshot;semiconductor-ai-nodes;semiconductor-alpha-cpo;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,KRW,2360000.0,651000.0,248.6,KRW,1677387107433000.0,1174170975203.1,2026-06-02T06:30:28+00:00,2026-06-02,https://finance.yahoo.com/quote/000660.KS/,https://query1.finance.yahoo.com/v8/finance/chart/000660.KS?range=ytd&interval=1d,
000990.KS,000990.KS,DB HiTek,semiconductor-ai-nodes,True,,KRW,170100.0,67600.0,130.8,KRW,7300914095800.0,5110639867.06,2026-06-02T06:30:28+00:00,2026-06-02,https://finance.yahoo.com/quote/000990.KS/,https://query1.finance.yahoo.com/v8/finance/chart/000990.KS?range=ytd&interval=1d,
001820.KS,001820,Samwha Capacitor,ai-passives,True,,KRW,107700.0,29250.0,257.21,KRW,1169754000000.0,818827800.0,2026-06-02T06:30:18+00:00,2026-06-02,https://finance.yahoo.com/quote/001820.KS/,https://query1.finance.yahoo.com/v8/finance/chart/001820.KS?range=ytd&interval=1d,
002050.SZ,002050.SZ,Zhejiang Sanhua Intelligent Controls,robotics,True,,CNY,45.17,55.31,-19.74,CNY,178951017528.0,26466855492.39,2026-06-02T07:04:18+00:00,2026-06-02,https://finance.yahoo.com/quote/002050.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002050.SZ?range=ytd&interval=1d,
002156.SZ,002156.SZ,Tongfu Microelectronics,semiconductor-ai-nodes,True,,CNY,63.84,37.7,61.46,CNY,93165274427.0,13779144087.75,2026-06-02T07:04:06+00:00,2026-06-02,https://finance.yahoo.com/quote/002156.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002156.SZ?range=ytd&interval=1d,
002281.SZ,002281,Accelink Technologies,companies,True,,CNY,215.11,69.95,203.7,CNY,164803856133.0,24374490322.07,2026-06-02T07:04:24+00:00,2026-06-02,https://finance.yahoo.com/quote/002281.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002281.SZ?range=ytd&interval=1d,
002371.SZ,002371.SZ,002371.SZ,beneficiaries;market-snapshot;semiconductor-alpha-cpo,True,,CNY,602.8,459.08,27.04,CNY,427571511852.0,63237826602.91,2026-06-02T07:04:21+00:00,2026-06-02,https://finance.yahoo.com/quote/002371.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002371.SZ?range=ytd&interval=1d,
002472.SZ,002472.SZ,Zhejiang Shuanghuan Driveline,robotics,True,,CNY,39.98,47.41,-14.94,CNY,32960459599.0,4874851974.69,2026-06-02T07:04:09+00:00,2026-06-02,https://finance.yahoo.com/quote/002472.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002472.SZ?range=ytd&interval=1d,
002600.SZ,002600.SZ,Lingyi iTech Guangdong,robotics,True,,CNY,14.67,15.54,-7.91,CNY,109403734239.0,16180812293.95,2026-06-02T07:04:51+00:00,2026-06-02,https://finance.yahoo.com/quote/002600.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002600.SZ?range=ytd&interval=1d,
002979.SZ,002979.SZ,China Leadshine Technology,robotics,True,,CNY,51.32,42.07,21.93,CNY,16312101932.0,2412559875.74,2026-06-02T07:04:48+00:00,2026-06-02,https://finance.yahoo.com/quote/002979.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002979.SZ?range=ytd&interval=1d,
003021.SZ,003021.SZ,Shenzhen Zhaowei Machinery,robotics,True,,CNY,97.25,124.18,-20.39,CNY,24568684514.0,3633708439.62,2026-06-02T07:04:33+00:00,2026-06-02,https://finance.yahoo.com/quote/003021.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/003021.SZ?range=ytd&interval=1d,
005380.KS,005380.KS,Hyundai Motor,robotics,True,,KRW,729000.0,296500.0,144.22,KRW,169311052453500.0,118517736717.45,2026-06-02T06:30:22+00:00,2026-06-02,https://finance.yahoo.com/quote/005380.KS/,https://query1.finance.yahoo.com/v8/finance/chart/005380.KS?range=ytd&interval=1d,
005930.KS,005930,Samsung Electronics,beneficiaries;bottleneck-sectors;companies;market-snapshot;semiconductor-ai-nodes;semiconductor-alpha-cpo;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,KRW,360500.0,119900.0,180.54,KRW,2195445979634000.0,1536812185743.8,2026-06-02T06:30:12+00:00,2026-06-02,https://finance.yahoo.com/quote/005930.KS/,https://query1.finance.yahoo.com/v8/finance/chart/005930.KS?range=ytd&interval=1d,
009150.KS,009150.KS,009150.KS,ai-passives;bottleneck-sectors;market-snapshot,True,,KRW,1813000.0,255000.0,571.48,KRW,147896733088000.0,103527713161.6,2026-06-02T06:30:09+00:00,2026-06-02,https://finance.yahoo.com/quote/009150.KS/,https://query1.finance.yahoo.com/v8/finance/chart/009150.KS?range=ytd&interval=1d,
010120.KS,010120.KS,LS Electric,ai-passives;latent-ai-nodes,True,,KRW,241500.0,92000.0,145.18,KRW,39725688450000.0,27807981915.0,2026-06-02T06:30:05+00:00,2026-06-02,https://finance.yahoo.com/quote/010120.KS/,https://query1.finance.yahoo.com/v8/finance/chart/010120.KS?range=ytd&interval=1d,
034020.KS,034020.KS,034020.KS,bottleneck-sectors;market-snapshot,True,,KRW,100000.0,75300.0,32.98,KRW,68323298244200.0,47826308770.94,2026-06-02T06:30:11+00:00,2026-06-02,https://finance.yahoo.com/quote/034020.KS/,https://query1.finance.yahoo.com/v8/finance/chart/034020.KS?range=ytd&interval=1d,
042700.KQ,042700.KQ,Hanmi Semiconductor,semiconductor-ai-nodes,True,,KRW,151000.0,127400.0,4.5,KRW,27791929586000.0,19454350710.2,2024-07-19T20:00:00+00:00,2026-06-02,https://finance.yahoo.com/quote/042700.KQ/,https://query1.finance.yahoo.com/v8/finance/chart/042700.KQ?range=ytd&interval=1d,
042700.KS,042700.KS,042700.KS,bottleneck-sectors;market-snapshot;semiconductor-alpha-cpo,True,,KRW,275500.0,127400.0,90.66,KRW,27791929586000.0,19454350710.2,2026-06-02T06:30:19+00:00,2026-06-02,https://finance.yahoo.com/quote/042700.KS/,https://query1.finance.yahoo.com/v8/finance/chart/042700.KS?range=ytd&interval=1d,
0522.HK,0522.HK,0522.HK,bottleneck-sectors;market-snapshot;semiconductor-alpha-cpo,True,,HKD,184.8,77.7,127.59,HKD,77588762303.0,9900326069.86,2026-06-02T08:08:44+00:00,2026-06-02,https://finance.yahoo.com/quote/0522.HK/,https://query1.finance.yahoo.com/v8/finance/chart/0522.HK?range=ytd&interval=1d,
084370.KQ,084370.KQ,Eugene Technology,semiconductor-ai-nodes,True,,KRW,119800.0,75000.0,39.95,KRW,2825818410300.0,1978072887.21,2026-06-02T06:30:30+00:00,2026-06-02,https://finance.yahoo.com/quote/084370.KQ/,https://query1.finance.yahoo.com/v8/finance/chart/084370.KQ?range=ytd&interval=1d,
0981.HK,0981.HK,0981.HK,beneficiaries;market-snapshot;semiconductor-alpha-cpo,True,,HKD,81.95,71.35,9.12,HKD,784507719067.0,100103184952.95,2026-06-02T08:08:44+00:00,2026-06-02,https://finance.yahoo.com/quote/0981.HK/,https://query1.finance.yahoo.com/v8/finance/chart/0981.HK?range=ytd&interval=1d,
108490.KQ,108490.KQ,ROBOTIS,robotics,True,,KRW,405000.0,261000.0,50.28,KRW,5258225385000.0,3680757769.5,2026-06-02T06:30:12+00:00,2026-06-02,https://finance.yahoo.com/quote/108490.KQ/,https://query1.finance.yahoo.com/v8/finance/chart/108490.KQ?range=ytd&interval=1d,
1347.HK,1347.HK,1347.HK,beneficiaries;market-snapshot;semiconductor-alpha-cpo,True,,HKD,147.9,74.1,81.92,HKD,307808752980.0,39276396880.25,2026-06-02T08:08:44+00:00,2026-06-02,https://finance.yahoo.com/quote/1347.HK/,https://query1.finance.yahoo.com/v8/finance/chart/1347.HK?range=ytd&interval=1d,
2049.TW,2049.TW,HIWIN Technologies,robotics,True,,TWD,364.0,194.0,85.71,TWD,137094493000.0,4359604877.4,2026-06-02T05:30:18+00:00,2026-06-02,https://finance.yahoo.com/quote/2049.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2049.TW?range=ytd&interval=1d,
2301.TW,2301,LITEON Technology,ai-passives;semiconductor-alpha-cpo,True,,TWD,227.5,163.5,36.23,TWD,532104780599.0,16920932023.05,2026-06-02T05:30:08+00:00,2026-06-02,https://finance.yahoo.com/quote/2301.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2301.TW?range=ytd&interval=1d,
2303.TW,2303.TW,UMC,signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,141.5,49.25,190.55,TWD,1831779345020.0,58250583171.64,2026-06-02T05:30:01+00:00,2026-06-02,https://finance.yahoo.com/quote/2303.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2303.TW?range=ytd&interval=1d,
2308.TW,2308,Delta Electronics,ai-passives;bottleneck-sectors;companies;latent-ai-nodes;market-snapshot,True,,TWD,2360.0,963.0,137.19,TWD,6286054856180.0,199896544426.52,2026-06-02T05:30:12+00:00,2026-06-02,https://finance.yahoo.com/quote/2308.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2308.TW?range=ytd&interval=1d,
2313.TW,2313.TW,2313.TW,ai-passives;bottleneck-sectors;market-snapshot,True,,TWD,270.5,93.1,185.94,TWD,336093409200.0,10687770412.56,2026-06-02T05:30:03+00:00,2026-06-02,https://finance.yahoo.com/quote/2313.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2313.TW?range=ytd&interval=1d,
2317.TW,2317,Hon Hai Precision (Foxconn),ai-passives;companies;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,301.5,230.5,29.96,TWD,4109563497107.0,130684119208.0,2026-06-02T05:30:02+00:00,2026-06-02,https://finance.yahoo.com/quote/2317.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2317.TW?range=ytd&interval=1d,
