source,source_name,path_count
CRDO,Credo Technology,5
ALAB,Astera Labs,5
042700.KQ,Hanmi Semiconductor,5
CAMT,Camtek,5
NVMI,Nova,5
MRVL,Marvell Technology,5
BESI.AS,BE Semiconductor Industries,5
AMKR,Amkor Technology,5
ASMI.AS,ASM International,5
3661.TW,Alchip Technologies,5
FORM,FormFactor,5
000660.KS,SK hynix,5
COHR,Coherent,5
MU,Micron Technology,5
ONTO,Onto Innovation,5
6266.T,TOWA,5
3443.TW,Global Unichip,5
5274.TW,ASPEED Technology,5
ACMR,ACM Research,5
6857.T,Advantest,5
GFS,GlobalFoundries,5
005930.KS,Samsung Electronics,5
TSEM,Tower Semiconductor,5
ARM,Arm Holdings,5
6488.TWO,GlobalWafers,5
2449.TW,King Yuan Electronics,5
NVTS,Navitas Semiconductor,5
6146.T,Disco,5
ICHR,Ichor Holdings,5
UCTT,Ultra Clean Holdings,5
AVGO,Broadcom,5
ENTG,Entegris,5
MKSI,MKS Instruments,5
002156.SZ,Tongfu Microelectronics,5
6920.T,Lasertec,5
6590.T,Shibaura Mechatronics,5
ASML,ASML Holding,5
SOI.PA,Soitec,5
AMD,Advanced Micro Devices,5
084370.KQ,Eugene Technology,5
NVDA,NVIDIA,5
TSM,Taiwan Semiconductor Manufacturing,5
6526.T,Socionext,5
4966.TW,Parade Technologies,5
8035.T,Tokyo Electron,5
3436.T,SUMCO,5
WAF.DE,Siltronic,5
4063.T,Shin-Etsu Chemical,5
QCOM,Qualcomm,5
NXPI,NXP Semiconductors,5
4186.T,Tokyo Ohka Kogyo,5
2454.TW,MediaTek,5
STM,STMicroelectronics,5
IFX.DE,Infineon Technologies,5
7735.T,SCREEN Holdings,5
AIXA.DE,Aixtron,5
ASX,ASE Technology Holding,5
UMC,United Microelectronics,5
3105.TWO,WIN Semiconductors,5
MTSI,MACOM Technology Solutions,5
SMTC,Semtech,5
5347.TWO,Vanguard International Semiconductor,5
3034.TW,Novatek Microelectronics,5
MPWR,Monolithic Power Systems,5
KLAC,KLA,5
2379.TW,Realtek Semiconductor,5
AMAT,Applied Materials,5
KLIC,Kulicke & Soffa,5
TER,Teradyne,5
LRCX,Lam Research,5
ACLS,Axcelis Technologies,5
AOSL,Alpha and Omega Semiconductor,5
PLAB,Photronics,5
SYNA,Synaptics,5
COHU,Cohu,5
AMBA,Ambarella,5
6963.T,Rohm,5
LSCC,Lattice Semiconductor,5
RMBS,Rambus,5
6723.T,Renesas Electronics,5
000990.KS,DB HiTek,5
TXN,Texas Instruments,5
ADI,Analog Devices,5
2408.TW,Nanya Technology,5
POWI,Power Integrations,5
2344.TW,Winbond Electronics,5
6770.TW,Powerchip Semiconductor Manufacturing,5
MXL,MaxLinear,5
ON,ON Semiconductor,5
SLAB,Silicon Labs,5
MCHP,Microchip Technology,5
2337.TW,Macronix International,5
DIOD,Diodes Inc.,5
AEHR,Aehr Test Systems,5
INTC,Intel,5
QRVO,Qorvo,5
SWKS,Skyworks Solutions,5
ALGM,Allegro MicroSystems,5
CRUS,Cirrus Logic,5
INDI,indie Semiconductor,5
