bundle,label,count
CPO full bundle,inferred adjacency,1037
CPO full bundle,public value-chain,950
CPO full bundle,specific public,5
CPO full bundle,specific public ecosystem,4
CPO full bundle,public ecosystem,2
CPO full bundle,specific public CPO production theme,1
CPO full bundle,public product demo,1
Broad semiconductor-alpha bundle,ECOSYSTEM-INFERRED,4729
Broad semiconductor-alpha bundle,LOW-CONFIDENCE-MAP,45
Broad semiconductor-alpha bundle,DOCUMENTED-ECOSYSTEM,9
Broad semiconductor-alpha bundle,DOCUMENTED,7
Broad semiconductor-alpha bundle,DOCUMENTED-FILING,3
Broad semiconductor-alpha bundle,PUBLIC-THEME,3
Broad semiconductor-alpha bundle,PUBLICLY-KNOWN,1
Broad semiconductor-alpha bundle,DOCUMENTED-RISK,1
